strategy,date,direction,entry_time,exit_time,entry_underlying,exit_underlying,entry_premium,exit_premium,qty,gross_pnl,fees,net_pnl,reason,setup,symbol,instrument,regime,segment
vp_trend,2025-08-07,bullish,14:20,14:38,24546.6,24576.0,72.0,86.42352000000072,32,461.5526400000231,52.17,409.38264000002306,target_0,vp,NIFTY,option,,all
vp_trend,2025-08-07,bullish,14:20,14:45,24546.6,24581.1,72.0,88.866,33,556.578,52.44,504.138,time_stop,vp,NIFTY,option,,all
vp_trend,2025-08-12,bearish,14:20,14:45,24591.4,24570.9,124.8,134.3844,65,622.9860000000001,63.26,559.7260000000001,time_stop,vp,NIFTY,option,,all
vp_trend,2025-08-22,bearish,14:20,14:24,24924.1,24912.5,73.1,78.8376213333326,32,183.60388266664359,51.83,131.7738826666436,target_0,vp,NIFTY,option,,all
vp_trend,2025-08-22,bearish,14:20,14:36,24924.1,24895.0,73.1,87.4004853333326,33,471.9160159999759,52.39,419.5260159999759,poc_magnet_1,vp,NIFTY,option,,all
vp_trend,2025-08-26,bearish,14:20,14:25,24778.5,24760.8,125.8,134.5158133333337,32,278.9060266666788,55.120000000000005,223.78602666667882,poc_magnet_0,vp,NIFTY,option,,all
vp_trend,2025-08-26,bearish,14:20,14:45,24778.5,24775.7,125.8,126.5290666666663,33,24.059199999987854,55.0,-30.940800000012146,time_stop,vp,NIFTY,option,,all
vp_trend,2025-09-05,bearish,14:10,14:45,24857.1,24832.8,72.9,84.50567999999964,65,754.3691999999764,57.129999999999995,697.2391999999764,time_stop,vp,NIFTY,option,,all
vp_trend,2025-09-09,bearish,14:45,14:46,24929.5,24936.9,126.6,122.87299199999927,65,-242.25552000004697,62.25,-304.505520000047,time_stop,vp,NIFTY,option,,all
vp_trend,2025-09-25,bearish,14:45,14:46,24994.0,24997.0,73.3,71.78436266666667,65,-98.51642666666649,55.980000000000004,-154.49642666666648,time_stop,vp,NIFTY,option,,all
vp_trend,2025-10-01,bullish,14:45,14:46,24975.0,24968.9,103.5,100.42792000000073,65,-199.68519999995289,59.5,-259.1851999999529,time_stop,vp,NIFTY,option,,all
vp_trend,2025-10-03,bullish,14:45,14:46,24991.8,24990.0,73.3,72.38436266666703,65,-59.51642666664284,56.03,-115.54642666664284,time_stop,vp,NIFTY,option,,all
vp_trend,2025-10-23,bullish,12:00,13:05,26162.7,26127.0,76.7,57.78642666666631,65,-1229.3822666666902,54.790000000000006,-1284.1722666666901,zone_failure,vp,NIFTY,option,,all
vp_trend,2025-11-03,bullish,14:25,14:45,25927.0,25908.5,152.0,142.10146666666665,65,-643.4046666666676,64.77,-708.1746666666676,time_stop,vp,NIFTY,option,,all
vp_trend,2025-11-18,bullish,14:15,14:45,26036.0,25999.9,132.2,113.30392000000072,65,-1228.2451999999528,61.53,-1289.7751999999527,zone_failure,vp,NIFTY,option,,all
vp_trend,2025-12-11,bullish,14:30,14:45,26024.0,25990.9,76.3,59.505840000000724,130,-2183.2407999999054,62.660000000000004,-2245.9007999999053,zone_failure,vp,NIFTY,option,,all
vp_trend,2025-12-23,bullish,14:15,14:45,26248.0,26211.6,133.3,114.24687999999928,65,-1238.4528000000475,61.65,-1300.1028000000476,time_stop,vp,NIFTY,option,,all
vp_trend,2026-01-22,bullish,14:35,14:45,25314.2,25328.2,74.2,81.04170666666667,65,444.71093333333334,56.849999999999994,387.8609333333334,time_stop,vp,NIFTY,option,,all
